Real;Evento;año;mes;Tipo de Evento;Origen;N.º Cámara;Cámaras;Direccion 0;Direccion;Resultado;CIUDAD;PROVINCIA;PAIS;ENLACE;Longitud y Latitud;estado_coordenada
28136;1;2023;11;Robo/Hurto Automotor;CATE 911;14;CON;Rio Negro;Funes De Millan;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Rio Negro y Funes De Millan ;-57.5853132,-37.962936;PENDIENTE_GEOCODIFICAR
28160;1;2023;11;Robo/Hurto Automotor;CATE 911;437;CON;25 De mayo;Bartolome Mitre;Detencion;Mar del Plata;Buenos Aires;Argentina;Veinticinco de Mayo y Bartolome Mitre ;-57.5475126,-37.996762;corregido_automatico
28200;1;2023;11;Robo/Hurto Automotor;CATE 911;358;CON;Juan B Justo;Thomas A Edison;No Asiste;Mar del Plata;Buenos Aires;Argentina;Juan B Justo y Thomas A Edison ;-57.5449921,-38.038801;ok
28291;1;2023;11;Robo/Hurto Automotor;CATE 911;396;CON;Castelli;Chilabert;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Castelli y Chilabert ;-57.609994948405166,-37.981072225297254;corregido_manual
28305;1;2023;11;Robo/Hurto Automotor;CATE 911;582;CON;San Luis;San Martin;No Asiste;Mar del Plata;Buenos Aires;Argentina;San Luis y San Martin ;-57.5479,-37.99895;corregido_paso1_cruce_interno
28348;1;2023;11;Robo/Hurto Automotor;CATE 911;623;CON;Juan B Justo;Paula Albarracin;Secuestro De Vehiculo;Mar del Plata;Buenos Aires;Argentina;Juan B Justo y Paula Albarracin ;-57.6063614,-37.992435;PENDIENTE_GEOCODIFICAR
28359;1;2023;11;Robo/Hurto Automotor;CATE 911;5006;SIN;Cuba;Guanahani;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Cuba y Guanahani ;-57.58979,-38.01797;ok
28392;1;2023;11;Robo/Hurto Automotor;CATE 911;622;CON;Juan B Justo;De Los Reservistas;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Juan B Justo y De Los Reservistas ;-57.6010993,-37.996401;PENDIENTE_GEOCODIFICAR
28399;1;2023;11;Robo/Hurto Automotor;CATE 911;476;CON;Rodriguez Pena;La Rioja;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Rodriguez Pena y La Rioja ;-57.5618743,-38.0110162;corregido_automatico
28480;1;2023;11;Robo/Hurto Automotor;CPM;525;CON;25 De mayo;Juan J Paso;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Veinte de Septiembre y Juan J Paso ;-57.5877511,-37.979914;PENDIENTE_GEOCODIFICAR
28520;1;2023;11;Robo/Hurto Automotor;CATE 911;528;CON;Moreno;Grecia;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Moreno y Grecia ;-57.5960228,-37.9779526;corregido_automatico
28538;1;2023;11;Robo/Hurto Automotor;CATE 911;323;CON;Tetamanti;Johanes Gutemberg;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Tetamanti y Johanes Gutemberg ;-57.6198932,-38.017478;PENDIENTE_GEOCODIFICAR
28665;1;2023;11;Robo/Hurto Automotor;CATE 911;159;CON;Pedro Luro;Chilabert;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Pedro Luro y Chilabert ;-57.5996104,-37.971686;PENDIENTE_GEOCODIFICAR
28718;1;2023;11;Robo/Hurto Automotor;CATE 911;21;CON;Olazabal;San Martin;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Olazabal y San Martin ;-57.56205,-37.99182;corregido_paso1_cruce_interno
28815;1;2023;11;Robo/Hurto Automotor;CATE 911;581;CON;Independencia;Belgrano;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Independencia y Belgrano ;-57.55427452883181,-37.997982836682155;corregido_manual
28880;1;2023;11;Robo/Hurto Automotor;CATE 911;30;CON;Constitucion;Chubut;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Constitucion y Chubut ;-57.55157492882245,-37.966577721168;corregido_manual
28918;1;2023;11;Robo/Hurto Automotor;CATE 911;231;CON;Arturo Alio;Garay;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Arturo Alio y Garay ;-57.6022941,-37.983852;PENDIENTE_GEOCODIFICAR
28919;1;2023;11;Robo/Hurto Automotor;CATE 911;129;CON;Gascon;Termas De Rio Hondo;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Gascon y Termas De Rio Hondo ;-57.602464,-37.9804476;corregido_automatico
28943;1;2023;11;Robo/Hurto Automotor;CATE 911;408;CON;San Luis;Quintana;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;San Luis y Quintana ;-57.5608044,-38.0149047;corregido_automatico
28944;1;2023;11;Robo/Hurto Automotor;CATE 911;555;CON;Buenos Aires;Alvarado;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Buenos Aires y Alvarado ;-57.5503219,-38.012391;ok
28949;1;2023;11;Robo/Hurto Automotor;CATE 911;141;CON;Nueve de Julio;Suarez;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Nueve de Julio y Suarez ;-57.5982223,-37.969967;ok
28951;1;2023;11;Robo/Hurto Automotor;CATE 911;262;CON;Felix U Camet;Falkner;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Felix U Camet y Falkner ;-57.5443845,-37.981392;PENDIENTE_GEOCODIFICAR
28984;1;2023;11;Robo/Hurto Automotor;CATE 911;336;CON;Garay;Estado De Israel;Persecucion Y Perdida;Mar del Plata;Buenos Aires;Argentina;Garay y Estado De Israel ;-57.607646,-37.983403;ok
29003;1;2023;11;Robo/Hurto Automotor;CATE 911;436;CON;Pedro Luro;San Luis;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Pedro Luro y San Luis ;-57.546153,-37.998513;PENDIENTE_GEOCODIFICAR
29030;1;2023;11;Robo/Hurto Automotor;CATE 911;612;CON;Talcahuano;Gaboto;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Talcahuano y Gaboto ;-57.5675977,-38.0243808;corregido_automatico
29210;1;2023;11;Robo/Hurto Automotor;CATE 911;391;CON;Jacinto Peralta Ramos;Arana Y Goiri;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jacinto Peralta Ramos y Arana Y Goiri ;-57.58597454231956,-38.031231425420984;corregido_manual
29219;1;2023;11;Robo/Hurto Automotor;CATE 911;408;CON;Avellaneda;San Luis;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Avellaneda y San Luis ;-57.556978,-38.0101302;corregido_automatico
29265;1;2023;11;Robo/Hurto Automotor;CATE 911;327;CON;Arturo Alio;Libertad;Asiste Inspeccion General;Mar del Plata;Buenos Aires;Argentina;Arturo Alio y Libertad ;-57.59056039069373,-37.96928879166506;corregido_manual
29271;1;2023;11;Robo/Hurto Automotor;CATE 911;582;CON;San Luis;San Martin;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;San Luis y San Martin ;-57.5479,-37.99895;corregido_paso1_cruce_interno
29345;1;2023;11;Robo/Hurto Automotor;CATE 911;596;CON;Independencia;San Martin;No Asiste;Mar del Plata;Buenos Aires;Argentina;Independencia y San Martin ;-57.55293,-37.99639;ok
29360;1;2023;11;Robo/Hurto Automotor;CATE 911;111;CON;Rivadavia;Santa Fe;Detencion;Mar del Plata;Buenos Aires;Argentina;Rivadavia y Santa Fe ;-57.5455414,-38.0012994;corregido_automatico
29374;1;2023;11;Robo/Hurto Automotor;CATE 911;111;CON;Rivadavia;Santa Fe;No Asiste;Mar del Plata;Buenos Aires;Argentina;Rivadavia y Santa Fe ;-57.5455414,-38.0012994;corregido_automatico
29390;1;2023;11;Robo/Hurto Automotor;ORIGEN DIFERIDO;564;CON;San Lorenzo;Remedios De Escalada;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;San Lorenzo y Remedios De Escalada ;-57.6028106,-37.988055;ok
29398;1;2023;11;Robo/Hurto Automotor;CATE 911;308;CON;Roca;Patricio Peralta Ramos;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Roca y Patricio Peralta Ramos ;-57.5310174,-38.025490;PENDIENTE_GEOCODIFICAR
29499;1;2023;11;Robo/Hurto Automotor;CATE 911;327;CON;Libertad;Arturo Alio;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Libertad y Arturo Alio ;-57.59056039069373,-37.96928879166506;corregido_manual
29533;1;2023;11;Robo/Hurto Automotor;CATE 911;808;CON;Las Heras;Larrea;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Las Heras y Larrea ;-57.5547351,-38.024803;ok
29542;1;2023;11;Robo/Hurto Automotor;CATE 911;85;CON;San Luis;Venticinco de 05;No Asiste;Mar del Plata;Buenos Aires;Argentina;San Luis y Venticinco de 05 ;-57.5470348,-37.997893;PENDIENTE_GEOCODIFICAR
29553;1;2023;11;Robo/Hurto Automotor;CATE 911;30;CON;Carlos Tejedor;Constitucion;Detencion;Mar del Plata;Buenos Aires;Argentina;Carlos Tejedor y Constitucion ;-57.5480945,-37.9588073;corregido_automatico
29727;1;2023;11;Robo/Hurto Automotor;CATE 911;667;CON;Patricio Peralta Ramos;Saavedra;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Patricio Peralta Ramos y Saavedra ;-57.5339843,-38.028355;PENDIENTE_GEOCODIFICAR
29728;1;2023;11;Robo/Hurto Automotor;CATE 911;80;CON;Patricio Peralta Ramos;Belgrano;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Patricio Peralta Ramos y Belgrano ;-57.5431804,-38.003574;PENDIENTE_GEOCODIFICAR
29729;1;2023;11;Robo/Hurto Automotor;CATE 911;804;CON;Patricio Peralta Ramos;Chacabuco;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Patricio Peralta Ramos y Chacabuco ;-57.5452102,-37.989941;ok
29730;1;2023;11;Robo/Hurto Automotor;CATE 911;251;CON;Felix U Camet;Miguel De Unamuno;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Felix U Camet y Miguel De Unamuno ;-57.5406799,-37.963093;PENDIENTE_GEOCODIFICAR
29874;1;2023;12;Robo/Hurto Automotor;CATE 911;813;CON;Chacabuco;Avenida Independencia;No Asiste;Mar del Plata;Buenos Aires;Argentina;Chacabuco y Avenida Independencia ;-57.5470287,-37.9890203;corregido_automatico
29877;1;2023;12;Robo/Hurto Automotor;CATE 911;702;CON;Avenida Juan B. Justo;Avenida Independencia;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Juan B. Justo Doctor y Avenida Independencia ;-57.5712351,-38.0189348;corregido_automatico
29894;1;2023;12;Robo/Hurto Automotor;CATE 911;649;CON;Avenida Antartida Argentina;Chuyantuya Cacique;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Antartida Argentina y Chuyantuya Cacique ;-57.6109,-38.05651;corregido_paso1_cruce_interno
29900;1;2023;12;Robo/Hurto Automotor;CATE 911;45;CON;Avenida Juan B. Justo;Funes Gregorio;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Juan B. Justo Doctor y Funes Gregorio ;-57.57828952571849,-38.01366716474532;corregido_manual
29960;1;2023;12;Robo/Hurto Automotor;CATE 911;443;CON;Santiago Del Estero;Avenida Patricio Peralta Ramos;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Santiago Del Estero y Avenida Patricio Peralta Ramos ;-57.542568,-37.9958618;corregido_automatico
29975;1;2023;12;Robo/Hurto Automotor;CATE 911;153;CON;Avenida Colon;Veinte de Setiembre;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Avenida Colon y Veinte de Setiembre ;-57.56034984016347,-37.99836373407494;corregido_manual
30076;1;2023;12;Robo/Hurto Automotor;CATE 911;283;CON;Calabria;Mosconi Enrique C. General;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Calabria y Mosconi Enrique C. General ;-57.5594183,-38.061810;ok
30088;1;2023;12;Robo/Hurto Automotor;CATE 911;571;CON;Buenos Aires;Esteban Gascon;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Buenos Aires y Esteban Gascon ;-57.5477932,-38.009231;PENDIENTE_GEOCODIFICAR
30100;1;2023;12;Robo/Hurto Automotor;CATE 911;296;CON;Jacinto Peralta Ramos;Genova;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jacinto Peralta Ramos y Genova ;-57.5910465,-38.0353764;corregido_automatico
30121;1;2023;12;Robo/Hurto Automotor;CATE 911;108;CON;Avenida Colon;Arenales;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Colon y Arenales ;-57.5431562,-38.0070263;corregido_automatico
30226;1;2023;12;Robo/Hurto Automotor;CATE 911;259;CON;Jose Cardiel Padre;Ricardo Palma;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jose Cardiel Padre y Ricardo Palma ;-57.5651146,-37.970982;PENDIENTE_GEOCODIFICAR
30390;1;2023;12;Robo/Hurto Automotor;CATE 911;707;CON;San Martin;Avenida Juan Hector Jara;No Asiste;Mar del Plata;Buenos Aires;Argentina;San Martin y Avenida Juan Hector Jara ;-57.5705099,-37.986354;ok
30407;1;2023;12;Robo/Hurto Automotor;CATE 911;145;CON;Rawson;Guillermo Marconi Ingeniero;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Rawson y Guillermo Marconi Ingeniero ;-57.57961314121868,-37.99419786115282;corregido_manual
30482;1;2023;12;Robo/Hurto Automotor;CATE 911;243;CON;Fragata Sarmiento;Newbery J.;Secuestro De Vehiculo;Mar del Plata;Buenos Aires;Argentina;Fragata Sarmiento y Newbery J. ;-57.5734051,-38.068855;PENDIENTE_GEOCODIFICAR
30490;1;2023;12;Robo/Hurto Automotor;CATE 911;85;CON;San Luis;Juan Bautista Alberdi;Detencion;Mar del Plata;Buenos Aires;Argentina;San Luis y Juan Bautista Alberdi ;-57.54653312883311,-37.99723930836819;corregido_manual
30495;1;2023;12;Robo/Hurto Automotor;CATE 911;57;CON;Avenida Pedro Luro;Hipolito Yrigoyen;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Pedro Luro y Hipolito Yrigoyen ;-57.5491919,-37.997121;corregido_automatico
30670;1;2023;12;Robo/Hurto Automotor;CATE 911;585;CON;Avenida Colon;Hipolito Yrigoyen;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Colon y Hipolito Yrigoyen ;-57.5531516,-38.001981;corregido_automatico
30678;1;2023;12;Robo/Hurto Automotor;CATE 911;624;CON;Juana Manso;Juan Bautista Azopardo;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Juana Manso y Juan Bautista Azopardo ;-57.580003828831664,-38.02920632339335;corregido_manual
30740;1;2023;12;Robo/Hurto Automotor;CATE 911;225;CON;Los Pinos;Rotonda Del Lago;Secuestro De Vehiculo;Mar del Plata;Buenos Aires;Argentina;Los Pinos y Rotonda Del Lago ;-57.5914089,-38.007046;ok
30744;1;2023;12;Robo/Hurto Automotor;CATE 911;79;CON;Jacinto Peralta Ramos;De La Plaza Fortunato;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jacinto Peralta Ramos y De La Plaza Fortunato ;-57.5823261,-38.0281827;corregido_automatico
30830;1;2023;12;Robo/Hurto Automotor;CATE 911;519;CON;Hipolito Yrigoyen;Nueve de Julio;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Hipolito Yrigoyen y Nueve de Julio ;-57.54786,-37.99544;corregido_paso1_cruce_interno
30911;1;2023;12;Robo/Hurto Automotor;MAC;5007;SIN;Las Heras;Falucho;Detencion;Mar del Plata;Buenos Aires;Argentina;Las Heras y Falucho ;-57.54249,-38.00965;ok
30949;1;2023;12;Robo/Hurto Automotor;CATE 911;369;CON;Leandro N. Alem;Vicente Lopez;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Leandro N. Alem y Vicente Lopez ;-57.54357,-38.03713;corregido_paso1_cruce_interno
31008;1;2023;12;Robo/Hurto Automotor;CATE 911;134;CON;Avenida Constitucion;Zuviria Martinez Gustavo;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Constitucion y Zuviria Martinez Gustavo ;-57.5736162,-37.955461;ok
31051;1;2023;12;Robo/Hurto Automotor;CATE 911;80;CON;Avenida Patricio Peralta Ramos;Belgrano;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Patricio Peralta Ramos y Belgrano ;-57.542609675968485,-38.00365799967116;corregido_paso1_cruce_interno
31118;1;2023;12;Robo/Hurto Automotor;CATE 911;578;CON;Avenida Patricio Peralta Ramos;Olavarria;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Patricio Peralta Ramos y Olavarria ;-57.53745,-38.00865;corregido_paso1_cruce_interno
31140;1;2023;12;Robo/Hurto Automotor;CATE 911;91;CON;Catorce de Julio;Roca 07 Argentino General;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Catorce de Julio y Roca 07 Argentino General ;-57.5928098,-38.034049;PENDIENTE_GEOCODIFICAR
31187;1;2023;12;Robo/Hurto Automotor;CATE 911;335;CON;Avenida Colon;Canada;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Colon y Canada ;-57.6164167,-37.9699461;corregido_automatico
31257;1;2023;12;Robo/Hurto Automotor;CATE 911;129;CON;Arturo Alio;Alberti Manuel;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Arturo Alio y Alberti Manuel ;-57.60103662881869,-37.9822732588093;corregido_manual
31274;1;2023;12;Robo/Hurto Automotor;CATE 911;580;CON;Olavarria;San Lorenzo;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Olavarria y San Lorenzo ;-57.544613,-38.017509;ok
31330;1;2023;12;Robo/Hurto Automotor;CATE 911;528;CON;Grecia;Rivadavia;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Grecia y Rivadavia ;-57.5947402,-37.9763858;corregido_automatico
31378;1;2023;12;Robo/Hurto Automotor;CATE 911;157;CON;Nueve de Julio;Luciano Arrue;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Nueve de Julio y Luciano Arrue ;-57.6038747,-37.971740;ok
31393;1;2023;12;Robo/Hurto Automotor;CATE 911;292;CON;Jose Eusebio Colombres;Comunidad Foral De Navarra;Detencion;Mar del Plata;Buenos Aires;Argentina;Jose Eusebio Colombres y Comunidad Foral De Navarra ;-57.5766912,-38.048789;PENDIENTE_GEOCODIFICAR
31412;1;2023;12;Robo/Hurto Automotor;CATE 911;254;CON;Avenida Constitucion;Ricardo Rojas;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Constitucion y Ricardo Rojas ;-57.5645854,-37.9599325;corregido_automatico
31440;1;2023;12;Robo/Hurto Automotor;CATE 911;56;CON;Catamarca;Avenida Pedro Luro;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Catamarca y Avenida Pedro Luro ;-57.5512134,-37.9961032;corregido_automatico
31486;1;2023;12;Robo/Hurto Automotor;CATE 911;581;CON;Avenida Independencia;Belgrano;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Independencia y Belgrano ;-57.5542281,-37.9979591;corregido_automatico
31568;1;2023;12;Robo/Hurto Automotor;CATE 911;252;CON;Avenida Felix U. Camet;Pascual Mugaburu;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Felix U. Camet y Pascual Mugaburu ;-57.54067,-37.96309;corregido_paso1_cruce_interno
31570;1;2023;12;Robo/Hurto Automotor;CATE 911;232;CON;Marcelo T. De Alvear Doctor;Arana Y Goiri;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Marcelo T. De Alvear Doctor y Arana Y Goiri ;-57.5683519,-38.043210;PENDIENTE_GEOCODIFICAR
31589;1;2023;12;Robo/Hurto Automotor;CATE 911;668;CON;Champagnat;Primera Junta;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Champagnat y Primera Junta ;-57.5939323,-37.994757;PENDIENTE_GEOCODIFICAR
31641;1;2023;12;Robo/Hurto Automotor;CATE 911;417;CON;Genova;Friuli;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Genova y Friuli ;-57.59643580480276,-38.03120795685643;corregido_paso1_cruce_interno
31650;1;2023;12;Robo/Hurto Automotor;CATE 911;443;CON;Avenida Patricio Peralta Ramos;Chacabuco;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Patricio Peralta Ramos y Chacabuco ;-57.54521,-37.98994;corregido_paso1_cruce_interno
31701;1;2023;12;Robo/Hurto Automotor;CATE 911;480;CON;Esteban Gascon;Hipolito Yrigoyen;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Esteban Gascon y Hipolito Yrigoyen ;-57.5541312,-38.004888;PENDIENTE_GEOCODIFICAR
31728;1;2023;12;Robo/Hurto Automotor;CATE 911;434;CON;Entre Rios;Rivadavia;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Entre Rios y Rivadavia ;-57.543554,-38.0023131;corregido_automatico
31802;1;2023;12;Robo/Hurto Automotor;CATE 911;551;CON;Alsina;Rawson;Detencion;Mar del Plata;Buenos Aires;Argentina;Alsina y Rawson ;-57.5424318,-38.013034;ok
31806;1;2023;12;Robo/Hurto Automotor;CATE 911;667;CON;Avenida Patricio Peralta Ramos;Matheu Domingo;Detencion;Mar del Plata;Buenos Aires;Argentina;Avenida Patricio Peralta Ramos y Matheu Domingo ;-57.5339843,-38.028355;PENDIENTE_GEOCODIFICAR
31947;1;2023;12;Robo/Hurto Automotor;CATE 911;708;CON;Paseo Victoria Ocampo;Guardavidas Guillermo Volpe;No Asiste;Mar del Plata;Buenos Aires;Argentina;Paseo Victoria Ocampo y Guardavidas Guillermo Volpe ;-57.5423252,-38.040703;PENDIENTE_GEOCODIFICAR
31953;1;2023;12;Robo/Hurto Automotor;CATE 911;694;CON;Leandro N. Alem;Saavedra Cornelio;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Leandro N. Alem y Saavedra Cornelio ;-57.535139042337114,-38.02671257431138;corregido_manual
149;1;2024;1;Robo/Hurto Automotor;CATE 911;447;CON;san juan;Avellaneda Nicolas;Detencion;Mar del Plata;Buenos Aires;Argentina;san juan y Avellaneda Nicolas ;-57.5846452,-38.003964;PENDIENTE_GEOCODIFICAR
179;1;2024;1;Robo/Hurto Automotor;CATE 911;309;CON;Carlos Tejedor;Caseros;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Carlos Tejedor y Caseros ;-57.550261,-37.946987;PENDIENTE_GEOCODIFICAR
437;1;2024;1;Robo/Hurto Automotor;CATE 911;581;CON;Belgrano;La Rioja;Persecucion Y Detencion;Mar del Plata;Buenos Aires;Argentina;Belgrano y La Rioja ;-57.55215151644766,-37.998913808017754;corregido_paso1_cruce_interno
458;1;2024;1;Robo/Hurto Automotor;CATE 911;516;CON;Beruti Antonio Luis;Eduardo Wilde;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Beruti Antonio Luis y Eduardo Wilde ;-57.5988641,-37.951647;ok
598;1;2024;1;Robo/Hurto Automotor;CATE 911;344;CON;Avenida Pedro Luro;Paula Albarracin;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Pedro Luro y Paula Albarracin ;-57.59247,-37.9753;corregido_paso1_cruce_interno
618;1;2024;1;Robo/Hurto Automotor;CATE 911;252;CON;Libres Del Sur;Pascual Mugaburu;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Libres Del Sur y Pascual Mugaburu ;-57.5435512,-37.963800;PENDIENTE_GEOCODIFICAR
679;1;2024;1;Robo/Hurto Automotor;CATE 911;622;CON;Avenida Independencia;Avellaneda Nicolas;No Asiste;Mar del Plata;Buenos Aires;Argentina;Avenida Independencia y Avellaneda Nicolas ;-57562,-38.00758;reparado
720;1;2024;1;Robo/Hurto Automotor;CATE 911;425;CON;Jujuy;Primera Junta;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jujuy y Primera Junta ;-57.5666629,-38.009705;corregido_automatico
851;1;2024;1;Robo/Hurto Automotor;CATE 911;456;CON;Sarmiento;Rawson;Asiste CPM;Mar del Plata;Buenos Aires;Argentina;Sarmiento y Rawson ;-57.54342,-38.0125364;corregido_automatico
901;1;2024;1;Robo/Hurto Automotor;CATE 911;813;CON;Chacabuco;Jujuy;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Chacabuco y Jujuy ;-57.5491045,-37.9879773;corregido_automatico
941;1;2024;1;Robo/Hurto Automotor;CATE 911;578;CON;Avenida Patricio Peralta Ramos;Las Heras;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Patricio Peralta Ramos y Las Heras ;-57.540509,-38.0073088;corregido_automatico
1073;1;2024;1;Robo/Hurto Automotor;CATE 911;67;CON;Salta;Laprida;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Salta y Laprida ;-57.5694717,-38.0149455;corregido_automatico
1085;1;2024;1;Robo/Hurto Automotor;CATE 911;110;CON;Avenida Colon;Mitre Bartolome;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Colon y Mitre Bartolome ;-57.5529726,-38.003361;PENDIENTE_GEOCODIFICAR
1122;1;2024;1;Robo/Hurto Automotor;CATE 911;344;CON;Avenida Pedro Luro;Estado De Israel;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Pedro Luro y Estado De Israel ;-57.5903475,-37.976163;corregido_automatico
1168;1;2024;1;Robo/Hurto Automotor;CATE 911;570;CON;Alberti Manuel;Lamadrid;No Asiste;Mar del Plata;Buenos Aires;Argentina;Alberti Manuel y Lamadrid ;-57.5457799,-38.010241;PENDIENTE_GEOCODIFICAR
1169;1;2024;1;Robo/Hurto Automotor;CATE 911;593;CON;Gandhi Mahatma;Cura Brochero;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Gandhi Mahatma y Cura Brochero ;-57.5496941,-37.936894;PENDIENTE_GEOCODIFICAR
1208;1;2024;1;Robo/Hurto Automotor;ORIGEN DIFERIDO;5008;SIN;Genova;Rondeau;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Genova y Rondeau ;-57.5665445,-38.0538572;corregido_automatico
1232;1;2024;1;Robo/Hurto Automotor;ORIGEN DIFERIDO;244;CON;Bravo Mario;Tomas Alva Edison;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Bravo Mario y Tomas Alva Edison ;-57.5712209,-38.060584;PENDIENTE_GEOCODIFICAR
1255;1;2024;1;Robo/Hurto Automotor;CATE 911;524;CON;Chile;Baldomero Fernandez Moreno;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Chile y Baldomero Fernandez Moreno ;-57.5750912,-37.988533;PENDIENTE_GEOCODIFICAR
1452;1;2024;1;Robo/Hurto Automotor;CATE 911;393;CON;San Juan;Rodriguez Peña;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;San Juan y Rodriguez Peña ;-57.5740098,-38.0048771;corregido_automatico
1585;1;2024;1;Robo/Hurto Automotor;CATE 911;429;CON;Labarden;Solis;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Labarden y Solis ;-57.6011328,-37.9977607;corregido_automatico
