,,,
WKT,nombre,descripción,
POINT (-57.59849399999999 -37.9784738),Bolívar 7499,,
POINT (-57.53231719999999 -38.02779219999999),Playa Grande,,
POINT (-57.710418 -38.0069795),Delegación Municipal Batán,,
POINT (-57.5757433 -37.95928749999999),San José de Calasanz 581,PC 6 HIKVISION,
POINT (-57.5767238 -37.9970016),Garay 4842,PC 7 - EZVIZ,
POINT (-57.5576059 -38.0010528),ALMIRANTE BROWN 3232,PC 5 HIKVISION,
POINT (-57.5774145 -37.9526354),Dellapaolera 1050,PC 7 - EZVIZ,
,,,
POINT (-57.5711014 -37.9907191),Moreno 4832,PC 5 HIKVISION,
POINT (-57.57311139999999 -38.0927958),Los Mapuches 1247,Pc 7 - EZVIZ,
POINT (-57.5650701 -37.9991828),GUIDO 2492,PC 7 - EZVIZ,
POINT (-57.5752251 -37.9866316),Uruguay 1835,Pc 7 - EZVIZ,
POINT (-57.599869 -38.0234355),Camusso,,
"LINESTRING (-57.5531082 -37.98594, -57.5543528 -37.9875128, -57.5523465 -37.9885698)",Línea 417,,
"LINESTRING (-57.5531082 -37.98594, -57.5510697 -37.9869674, -57.5523894 -37.9885698)",Plaza Pueyrredon,,
POINT (-57.5725109 -37.9968791),Alberti 4550,PC 5 HIKVISION,
POINT (-57.55612850000001 -38.0478181),Av. Edison 1345,PC 5 HIKVISION,
POINT (-57.5615957 -38.0910967),Diag. Estados Unidos Nte. 779,,
POINT (-57.55437860000001 -38.00195430000001),LA RIOJA 2248,PC 7 - EZVIZ,
POINT (-57.58457569999999 -38.0120611),De los Inmigrantes 237,PC 5 HIKVISION,
POINT (-57.58875 -38.114026),entrada del barrio san carlos,,
POINT (-57.61933029999999 -38.0131616),Genova 9845,PC 5 HIKVISION,
POINT (-57.57255199999999 -37.9893113),Av. Juan Héctor Jara 1954,PC 5 HIKVISION,
"LINESTRING (-57.5438075 -38.0043779, -57.5451378 -38.0060179, -57.5431423 -38.0070239, -57.5423591 -38.0059123, -57.5426434 -38.0049401, -57.5438236 -38.0043483)",Plaza Colon ,,
"LINESTRING (-57.5531035 -38.0020167, -57.5511347 -38.0029847, -57.5524865 -38.0046417, -57.5544446 -38.0035934, -57.5544446 -38.0035638, -57.5531464 -38.0019956)",Plaza mitre ,,
POINT (-57.5523913 -38.0209535),Formosa 1755,PC 8 - DAHUA,
POINT (-57.55217030000001 -38.0218752),Las Heras 3950,,
POINT (-57.58324699999999 -38.107467),Calle 6 nro 1663 entre 451/453,PC 7 - EZVIZ,
POINT (-57.67851079999999 -38.011446),Teru Teru 922,PC 7 - EZVIZ,
POINT (-57.5458332 -38.025613),Almafuerte 1021,3 DAHUA DSS,
POINT (-57.5455095 -37.9952071),3 de Febrero 2751,,
POINT (-57.54417300000001 -38.0163838),Olavarría 3063,PC 6 HIKVISION,
POINT (-57.5809276 -37.98061939999999),Luro 6099,PC 7 - EZVIZ,
POINT (-57.58458570000001 -38.0111679),Camusso 180,PC 7 - EZVIZ,
POINT (-57.5424664 -38.0176992),Avellaneda 1244,PC 1 DAHUA,
POINT (-57.5698838 -38.0000675),San Juan 2790,PC 1 DAHUA,
POINT (-57.5874408 -37.9775233),Av. Pedro Luro 6701,PC 1 DAHUA,
POINT (-57.5375082 -38.02754669999999),Matheu 307,PC 1 DAHUA,
POINT (-57.54785779999999 -38.0002893),Rivadavia 2602 - CORDOBA 1899,PC 1 DAHUA,
POINT (-57.5829538 -38.0019572),JARA 3550,PC 1 DAHUA,
POINT (-57.5760861 -38.0412549),AV. FORTUNATO DE LA PLAZA Y LUIS AGOTE,PC 1 DAHUA,
POINT (-57.5372352 -38.0290937),ALEM 3913,PC 2 DAHUA,
POINT (-57.55542209999999 -37.9861043),Maipú 3960,PC 7 - EZVIZ,
POINT (-57.55663799999999 -37.9857997),Maipú 4020,PC 7 - EZVIZ,
POINT (-57.55456899999999 -37.9985867),INDEPENDENCIA 1964,PC 2 DAHUA,
POINT (-57.5559447 -37.9857466),Funes 909,PC 7 - EZVIZ,
POINT (-57.5545117 -37.9988804),Punto 432,,
POINT (-57.5563869 -37.9862945),Funes 959,PC 7 - EZVIZ,
POINT (-57.5915822 -37.9867047),Bordabehere 2590,PC 8 - DAHUA,
POINT (-57.5918486 -37.9871099),Alberti 6490,PC 8 - DAHUA,
POINT (-57.5474761 -37.968788),Libres del Sud 990,PC 8 - DAHUA,
POINT (-57.547526 -37.9691097),Constitución 4386,PC 8 - DAHUA,
POINT (-57.57275509999999 -38.0032687),San Juan & San Lorenzo,PC 2 DAHUA,
POINT (-57.5420085 -37.9968779),SANTA FE 1247,PC 2 DAHUA,
POINT (-57.55758470000001 -38.03082819999999),SOLIS 4850,PC 2 DAHUA,
POINT (-57.7062095 -38.0049301),Calle 134,,
POINT (-57.533107 -38.0284902),BRUTO TUNEL,PC 3 DAHUA,
POINT (-57.6074734 -37.9487599),Av. Albert Schweitzer 32,PC 4 DAHUA,
POINT (-57.5702247 -38.0277342),Ayolas 5832,PC 9 - HIKVISION,
POINT (-57.5525439 -38.0009395),Hipolito Yrigoyen 2097,,
,PC 9 - HIKVISION,,
POINT (-57.57507389999999 -38.011996),Laprida 3867,PC 4 DAHUA,
POINT (-57.5623635 -38.0735372),Los Geranios 2210,PC 4 DAHUA,
POINT (-57.54786300000001 -38.00389829999999),SANTA FE 2147,PC 4 DAHUA,
POINT (-57.5596222 -38.0190383),Almafuerte 2384,PC 9 - HIKVISION,
POINT (-57.56570159999999 -38.0137851),Catamarca 3823,PC 9 - HIKVISION,
POINT (-57.5445754 -38.0051653),Bolívar 2118,,
BUENOS AIRES 2118,PC 5 HIKVISION,,
POINT (-57.589996 -38.0067619),Los Eucaliptos 8408,PC 7 - EZVIZ,
POINT (-57.5458942 -38.0436627),Figueroa Alcorta 427,PC 5 HIKVISON,
POINT (-57.5820931 -38.0653435),Jorge Hernandez 785,PC 9 - HIKVISION,
POINT (-57.5882167 -37.9912106),Juncal 2820,PC 9 - HIKVISION,
POINT (-57.5596222 -38.0190383),Almafuerte 2384,PC 5 HIKVISION,
POINT (-57.56038789999999 -37.9914376),Avenida Pedro Luro & Deán Funes,PC 5 HIKVISION ,
POINT (-57.5453467 -37.9972915),Córdoba 1441,PC 5 HIKVISION,
POINT (-57.5724217 -38.0100853),Dorrego 3800,PC 5 HIKVISION,
POINT (-57.5645688 -38.0664307),El Hornero 37,PC 5 HIKVISION,
POINT (-57.5584001 -38.00339719999999),Av. Independencia 2552,PC 5 HIKVISION,
POINT (-57.55905240000001 -37.9700762),José Ingenieros 359,PC 5 HIKVISION,
POINT (-57.5480135 -37.994026),La Rioja 1282,PC 5 HIKVISION,
POINT (-57.5409824 -38.0330073),LARREA 248,PC 5 HIKVISION,
POINT (-57.5616379 -37.991841),San Martín 4077,PC 5 HIKVISION,
POINT (-57.5656421 -38.0142405),Catamarca 3854,PC 7 - EZVIZ,
POINT (-57.55723649999999 -37.995968),España 1853,PC 8 HIKVISION,
POINT (-57.57630469999999 -37.9936614),Avenida Juan Héctor Jara & Gascón,,
POINT (-57.5558617 -37.9874753),Guido 1045,PC 8 - DSS EXPRESS,
POINT (-57.54979819999999 -38.0050637),Santiago del Estero 2306,PC 8 - DSS EXPRESS,
POINT (-57.5515176 -37.9765584),Tomás Falkner 4211,PC 8 - DSS EXPRESS,
POINT (-57.5960456 -37.9065167),Calle Alelies & Calle Los Geranios,PC 7 - EZVIZ,
POINT (-57.59922690000001 -37.9078876),Calle Los Tulipanes & Calle Azucena,PC 7 - EZVIZ,
POINT (-57.59445539999999 -37.91148099999999),Calle Las Rosas & Calle Los Geranios,PC 7 - EZVIZ,
POINT (-57.5965921 -37.9081013),Lirios 2740,PC 7 - EZVIZ - CONTRASEÑA: QWERTY,
POINT (-57.59980820000001 -38.0356997),Monseñor Enrique Rau 2967,PC 7 EZVIZ,
